group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
average_positive,elements,1000,1000,elements,3221250.0,ns,1706
average_positive,elements,1000,1000,elements,6437959.0,ns,3412
average_positive,elements,1000,1000,elements,10246209.0,ns,5118
average_positive,elements,1000,1000,elements,12296750.0,ns,6824
average_positive,elements,1000,1000,elements,16140875.0,ns,8530
average_positive,elements,1000,1000,elements,19942667.0,ns,10236
average_positive,elements,1000,1000,elements,19449875.0,ns,11942
average_positive,elements,1000,1000,elements,26204166.0,ns,13648
average_positive,elements,1000,1000,elements,28223416.0,ns,15354
average_positive,elements,1000,1000,elements,29748042.0,ns,17060
average_positive,elements,1000,1000,elements,34073458.0,ns,18766
average_positive,elements,1000,1000,elements,37842875.0,ns,20472
average_positive,elements,1000,1000,elements,39978667.0,ns,22178
average_positive,elements,1000,1000,elements,42655458.0,ns,23884
average_positive,elements,1000,1000,elements,45536584.0,ns,25590
average_positive,elements,1000,1000,elements,50131708.0,ns,27296
average_positive,elements,1000,1000,elements,52521542.0,ns,29002
average_positive,elements,1000,1000,elements,54779084.0,ns,30708
average_positive,elements,1000,1000,elements,58828792.0,ns,32414
average_positive,elements,1000,1000,elements,60845792.0,ns,34120
average_positive,elements,1000,1000,elements,65083125.0,ns,35826
average_positive,elements,1000,1000,elements,76721750.0,ns,37532
average_positive,elements,1000,1000,elements,69124500.0,ns,39238
average_positive,elements,1000,1000,elements,71017417.0,ns,40944
average_positive,elements,1000,1000,elements,77600042.0,ns,42650
average_positive,elements,1000,1000,elements,81944709.0,ns,44356
average_positive,elements,1000,1000,elements,81926208.0,ns,46062
average_positive,elements,1000,1000,elements,85823542.0,ns,47768
average_positive,elements,1000,1000,elements,88639459.0,ns,49474
average_positive,elements,1000,1000,elements,98662417.0,ns,51180
average_positive,elements,1000,1000,elements,93619375.0,ns,52886
average_positive,elements,1000,1000,elements,94461542.0,ns,54592
average_positive,elements,1000,1000,elements,99580166.0,ns,56298
average_positive,elements,1000,1000,elements,105346958.0,ns,58004
average_positive,elements,1000,1000,elements,111996625.0,ns,59710
average_positive,elements,1000,1000,elements,111427500.0,ns,61416
average_positive,elements,1000,1000,elements,118960417.0,ns,63122
average_positive,elements,1000,1000,elements,114457333.0,ns,64828
average_positive,elements,1000,1000,elements,116288917.0,ns,66534
average_positive,elements,1000,1000,elements,125638584.0,ns,68240
average_positive,elements,1000,1000,elements,123975708.0,ns,69946
average_positive,elements,1000,1000,elements,125586625.0,ns,71652
average_positive,elements,1000,1000,elements,137873917.0,ns,73358
average_positive,elements,1000,1000,elements,130392084.0,ns,75064
average_positive,elements,1000,1000,elements,136261875.0,ns,76770
average_positive,elements,1000,1000,elements,138280750.0,ns,78476
average_positive,elements,1000,1000,elements,143853500.0,ns,80182
average_positive,elements,1000,1000,elements,150530250.0,ns,81888
average_positive,elements,1000,1000,elements,143203875.0,ns,83594
average_positive,elements,1000,1000,elements,153062791.0,ns,85300
