group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
average_positive,elements,500000,500000,elements,4371583.0,ns,6
average_positive,elements,500000,500000,elements,7218292.0,ns,12
average_positive,elements,500000,500000,elements,10509917.0,ns,18
average_positive,elements,500000,500000,elements,14651542.0,ns,24
average_positive,elements,500000,500000,elements,18483583.0,ns,30
average_positive,elements,500000,500000,elements,20688042.0,ns,36
average_positive,elements,500000,500000,elements,26045375.0,ns,42
average_positive,elements,500000,500000,elements,31659208.0,ns,48
average_positive,elements,500000,500000,elements,35095208.0,ns,54
average_positive,elements,500000,500000,elements,38404750.0,ns,60
average_positive,elements,500000,500000,elements,46582375.0,ns,66
average_positive,elements,500000,500000,elements,51042084.0,ns,72
average_positive,elements,500000,500000,elements,50388125.0,ns,78
average_positive,elements,500000,500000,elements,51603625.0,ns,84
average_positive,elements,500000,500000,elements,52982750.0,ns,90
average_positive,elements,500000,500000,elements,62031583.0,ns,96
average_positive,elements,500000,500000,elements,64982334.0,ns,102
average_positive,elements,500000,500000,elements,67605375.0,ns,108
average_positive,elements,500000,500000,elements,69701083.0,ns,114
average_positive,elements,500000,500000,elements,71860542.0,ns,120
average_positive,elements,500000,500000,elements,75847541.0,ns,126
average_positive,elements,500000,500000,elements,85610333.0,ns,132
average_positive,elements,500000,500000,elements,101552167.0,ns,138
average_positive,elements,500000,500000,elements,87252000.0,ns,144
average_positive,elements,500000,500000,elements,93055916.0,ns,150
average_positive,elements,500000,500000,elements,96158583.0,ns,156
average_positive,elements,500000,500000,elements,97942000.0,ns,162
average_positive,elements,500000,500000,elements,104567959.0,ns,168
average_positive,elements,500000,500000,elements,120042167.0,ns,174
average_positive,elements,500000,500000,elements,145805917.0,ns,180
average_positive,elements,500000,500000,elements,122766708.0,ns,186
average_positive,elements,500000,500000,elements,123407792.0,ns,192
average_positive,elements,500000,500000,elements,124517916.0,ns,198
average_positive,elements,500000,500000,elements,132069792.0,ns,204
average_positive,elements,500000,500000,elements,133191833.0,ns,210
average_positive,elements,500000,500000,elements,138404083.0,ns,216
average_positive,elements,500000,500000,elements,131013959.0,ns,222
average_positive,elements,500000,500000,elements,147636583.0,ns,228
average_positive,elements,500000,500000,elements,143837416.0,ns,234
average_positive,elements,500000,500000,elements,155331000.0,ns,240
average_positive,elements,500000,500000,elements,163767792.0,ns,246
average_positive,elements,500000,500000,elements,168336500.0,ns,252
average_positive,elements,500000,500000,elements,162539333.0,ns,258
average_positive,elements,500000,500000,elements,166192583.0,ns,264
average_positive,elements,500000,500000,elements,177666041.0,ns,270
average_positive,elements,500000,500000,elements,175061750.0,ns,276
average_positive,elements,500000,500000,elements,178836417.0,ns,282
average_positive,elements,500000,500000,elements,180778333.0,ns,288
average_positive,elements,500000,500000,elements,185302708.0,ns,294
average_positive,elements,500000,500000,elements,187999834.0,ns,300
