group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
average_positive,,,,,928833.0,ns,6
average_positive,,,,,2731125.0,ns,12
average_positive,,,,,2716333.0,ns,18
average_positive,,,,,5039000.0,ns,24
average_positive,,,,,5718750.0,ns,30
average_positive,,,,,6324000.0,ns,36
average_positive,,,,,7145583.0,ns,42
average_positive,,,,,9762541.0,ns,48
average_positive,,,,,9363958.0,ns,54
average_positive,,,,,10732125.0,ns,60
average_positive,,,,,12933959.0,ns,66
average_positive,,,,,12851833.0,ns,72
average_positive,,,,,14153750.0,ns,78
average_positive,,,,,15282250.0,ns,84
average_positive,,,,,16236459.0,ns,90
average_positive,,,,,18518083.0,ns,96
average_positive,,,,,18446708.0,ns,102
average_positive,,,,,20410458.0,ns,108
average_positive,,,,,21159291.0,ns,114
average_positive,,,,,21593000.0,ns,120
average_positive,,,,,23362916.0,ns,126
average_positive,,,,,24180333.0,ns,132
average_positive,,,,,26257459.0,ns,138
average_positive,,,,,27894084.0,ns,144
average_positive,,,,,29939292.0,ns,150
average_positive,,,,,30018334.0,ns,156
average_positive,,,,,29947333.0,ns,162
average_positive,,,,,31295833.0,ns,168
average_positive,,,,,32373500.0,ns,174
average_positive,,,,,32946042.0,ns,180
average_positive,,,,,33716041.0,ns,186
average_positive,,,,,35258667.0,ns,192
average_positive,,,,,37284667.0,ns,198
average_positive,,,,,38813875.0,ns,204
average_positive,,,,,38832584.0,ns,210
average_positive,,,,,39906541.0,ns,216
average_positive,,,,,40672875.0,ns,222
average_positive,,,,,41571625.0,ns,228
average_positive,,,,,81196333.0,ns,234
average_positive,,,,,91578584.0,ns,240
average_positive,,,,,55509917.0,ns,246
average_positive,,,,,97653625.0,ns,252
average_positive,,,,,65469583.0,ns,258
average_positive,,,,,60105459.0,ns,264
average_positive,,,,,61724667.0,ns,270
average_positive,,,,,57761167.0,ns,276
average_positive,,,,,53489666.0,ns,282
average_positive,,,,,52549875.0,ns,288
average_positive,,,,,53395584.0,ns,294
average_positive,,,,,56777417.0,ns,300
average_positive,,,,,59383625.0,ns,306
average_positive,,,,,72057750.0,ns,312
average_positive,,,,,67143583.0,ns,318
average_positive,,,,,63692542.0,ns,324
average_positive,,,,,58948417.0,ns,330
average_positive,,,,,59729291.0,ns,336
average_positive,,,,,63087625.0,ns,342
average_positive,,,,,63046500.0,ns,348
average_positive,,,,,64386917.0,ns,354
average_positive,,,,,68482917.0,ns,360
average_positive,,,,,65431542.0,ns,366
average_positive,,,,,81028000.0,ns,372
average_positive,,,,,66412833.0,ns,378
average_positive,,,,,72438333.0,ns,384
average_positive,,,,,69994666.0,ns,390
average_positive,,,,,70890625.0,ns,396
average_positive,,,,,72798250.0,ns,402
average_positive,,,,,151919083.0,ns,408
average_positive,,,,,80042375.0,ns,414
average_positive,,,,,79171542.0,ns,420
average_positive,,,,,163964625.0,ns,426
average_positive,,,,,102287959.0,ns,432
average_positive,,,,,94737791.0,ns,438
average_positive,,,,,86709458.0,ns,444
average_positive,,,,,91080875.0,ns,450
average_positive,,,,,82663875.0,ns,456
average_positive,,,,,82592750.0,ns,462
average_positive,,,,,84011250.0,ns,468
average_positive,,,,,86624167.0,ns,474
average_positive,,,,,88085167.0,ns,480
average_positive,,,,,88372875.0,ns,486
average_positive,,,,,91025958.0,ns,492
average_positive,,,,,91107875.0,ns,498
average_positive,,,,,91726875.0,ns,504
average_positive,,,,,92516666.0,ns,510
average_positive,,,,,93651084.0,ns,516
average_positive,,,,,103591667.0,ns,522
average_positive,,,,,97090292.0,ns,528
average_positive,,,,,95745833.0,ns,534
average_positive,,,,,97559791.0,ns,540
average_positive,,,,,101280875.0,ns,546
average_positive,,,,,100540708.0,ns,552
average_positive,,,,,101547958.0,ns,558
average_positive,,,,,102598542.0,ns,564
average_positive,,,,,103166250.0,ns,570
average_positive,,,,,87508625.0,ns,576
average_positive,,,,,110746666.0,ns,582
average_positive,,,,,112250917.0,ns,588
average_positive,,,,,109036250.0,ns,594
average_positive,,,,,111778500.0,ns,600
