group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
leak_buffer,,,,,1124166.0,ns,7
leak_buffer,,,,,2217583.0,ns,14
leak_buffer,,,,,3314083.0,ns,21
leak_buffer,,,,,4421417.0,ns,28
leak_buffer,,,,,5866000.0,ns,35
leak_buffer,,,,,6643833.0,ns,42
leak_buffer,,,,,7762166.0,ns,49
leak_buffer,,,,,8943916.0,ns,56
leak_buffer,,,,,10023375.0,ns,63
leak_buffer,,,,,11091250.0,ns,70
leak_buffer,,,,,12302584.0,ns,77
leak_buffer,,,,,13309250.0,ns,84
leak_buffer,,,,,14424958.0,ns,91
leak_buffer,,,,,15547583.0,ns,98
leak_buffer,,,,,16638541.0,ns,105
leak_buffer,,,,,17753833.0,ns,112
leak_buffer,,,,,18906084.0,ns,119
leak_buffer,,,,,20062625.0,ns,126
leak_buffer,,,,,21086375.0,ns,133
leak_buffer,,,,,22239625.0,ns,140
leak_buffer,,,,,23648917.0,ns,147
leak_buffer,,,,,24399083.0,ns,154
leak_buffer,,,,,25478334.0,ns,161
leak_buffer,,,,,26618917.0,ns,168
leak_buffer,,,,,27701583.0,ns,175
leak_buffer,,,,,29383125.0,ns,182
leak_buffer,,,,,30006875.0,ns,189
leak_buffer,,,,,31092834.0,ns,196
leak_buffer,,,,,32308500.0,ns,203
leak_buffer,,,,,33259208.0,ns,210
leak_buffer,,,,,34345709.0,ns,217
leak_buffer,,,,,35462875.0,ns,224
leak_buffer,,,,,36589667.0,ns,231
leak_buffer,,,,,37776792.0,ns,238
leak_buffer,,,,,38842333.0,ns,245
leak_buffer,,,,,39986375.0,ns,252
leak_buffer,,,,,41094125.0,ns,259
leak_buffer,,,,,42178875.0,ns,266
leak_buffer,,,,,43245208.0,ns,273
leak_buffer,,,,,44603416.0,ns,280
leak_buffer,,,,,45545250.0,ns,287
leak_buffer,,,,,64501875.0,ns,294
leak_buffer,,,,,52443333.0,ns,301
leak_buffer,,,,,54199292.0,ns,308
leak_buffer,,,,,54974042.0,ns,315
leak_buffer,,,,,51695459.0,ns,322
leak_buffer,,,,,53776542.0,ns,329
leak_buffer,,,,,55946083.0,ns,336
leak_buffer,,,,,56770042.0,ns,343
leak_buffer,,,,,56592958.0,ns,350
leak_buffer,,,,,58195458.0,ns,357
leak_buffer,,,,,59045083.0,ns,364
leak_buffer,,,,,59618875.0,ns,371
leak_buffer,,,,,61102125.0,ns,378
leak_buffer,,,,,63303250.0,ns,385
leak_buffer,,,,,63693916.0,ns,392
leak_buffer,,,,,65164708.0,ns,399
leak_buffer,,,,,66195208.0,ns,406
leak_buffer,,,,,67606667.0,ns,413
leak_buffer,,,,,70256500.0,ns,420
leak_buffer,,,,,69768708.0,ns,427
leak_buffer,,,,,71431750.0,ns,434
leak_buffer,,,,,73315000.0,ns,441
leak_buffer,,,,,74192917.0,ns,448
leak_buffer,,,,,73935833.0,ns,455
leak_buffer,,,,,73754500.0,ns,462
leak_buffer,,,,,74282917.0,ns,469
leak_buffer,,,,,75552583.0,ns,476
leak_buffer,,,,,77770208.0,ns,483
leak_buffer,,,,,78446042.0,ns,490
leak_buffer,,,,,79346958.0,ns,497
leak_buffer,,,,,81635292.0,ns,504
leak_buffer,,,,,82004584.0,ns,511
leak_buffer,,,,,83764625.0,ns,518
leak_buffer,,,,,84260875.0,ns,525
leak_buffer,,,,,86330958.0,ns,532
leak_buffer,,,,,85621292.0,ns,539
leak_buffer,,,,,86622083.0,ns,546
leak_buffer,,,,,88719750.0,ns,553
leak_buffer,,,,,95462667.0,ns,560
leak_buffer,,,,,93967334.0,ns,567
leak_buffer,,,,,96359000.0,ns,574
leak_buffer,,,,,94082042.0,ns,581
leak_buffer,,,,,94118916.0,ns,588
leak_buffer,,,,,94651041.0,ns,595
leak_buffer,,,,,95691667.0,ns,602
leak_buffer,,,,,97581292.0,ns,609
leak_buffer,,,,,97918375.0,ns,616
leak_buffer,,,,,98701500.0,ns,623
leak_buffer,,,,,99771625.0,ns,630
leak_buffer,,,,,103785417.0,ns,637
leak_buffer,,,,,107885125.0,ns,644
leak_buffer,,,,,111674917.0,ns,651
leak_buffer,,,,,107027541.0,ns,658
leak_buffer,,,,,108289000.0,ns,665
leak_buffer,,,,,107793083.0,ns,672
leak_buffer,,,,,108194750.0,ns,679
leak_buffer,,,,,108925042.0,ns,686
leak_buffer,,,,,109743292.0,ns,693
leak_buffer,,,,,110836875.0,ns,700
