group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
leak_buffer,bytes,1000000,1000000,bytes,3363875.0,ns,10
leak_buffer,bytes,1000000,1000000,bytes,7416458.0,ns,20
leak_buffer,bytes,1000000,1000000,bytes,9630083.0,ns,30
leak_buffer,bytes,1000000,1000000,bytes,12997833.0,ns,40
leak_buffer,bytes,1000000,1000000,bytes,16283667.0,ns,50
leak_buffer,bytes,1000000,1000000,bytes,20676250.0,ns,60
leak_buffer,bytes,1000000,1000000,bytes,22094417.0,ns,70
leak_buffer,bytes,1000000,1000000,bytes,27654125.0,ns,80
leak_buffer,bytes,1000000,1000000,bytes,52559375.0,ns,90
leak_buffer,bytes,1000000,1000000,bytes,32109084.0,ns,100
leak_buffer,bytes,1000000,1000000,bytes,36198125.0,ns,110
leak_buffer,bytes,1000000,1000000,bytes,40349167.0,ns,120
leak_buffer,bytes,1000000,1000000,bytes,42889500.0,ns,130
leak_buffer,bytes,1000000,1000000,bytes,45176250.0,ns,140
leak_buffer,bytes,1000000,1000000,bytes,49772417.0,ns,150
leak_buffer,bytes,1000000,1000000,bytes,52288917.0,ns,160
leak_buffer,bytes,1000000,1000000,bytes,55318375.0,ns,170
leak_buffer,bytes,1000000,1000000,bytes,70315209.0,ns,180
leak_buffer,bytes,1000000,1000000,bytes,71714875.0,ns,190
leak_buffer,bytes,1000000,1000000,bytes,68948667.0,ns,200
leak_buffer,bytes,1000000,1000000,bytes,66413916.0,ns,210
leak_buffer,bytes,1000000,1000000,bytes,82143709.0,ns,220
leak_buffer,bytes,1000000,1000000,bytes,72302333.0,ns,230
leak_buffer,bytes,1000000,1000000,bytes,75927916.0,ns,240
leak_buffer,bytes,1000000,1000000,bytes,85397416.0,ns,250
leak_buffer,bytes,1000000,1000000,bytes,85866625.0,ns,260
leak_buffer,bytes,1000000,1000000,bytes,88766416.0,ns,270
leak_buffer,bytes,1000000,1000000,bytes,96252417.0,ns,280
leak_buffer,bytes,1000000,1000000,bytes,103979167.0,ns,290
leak_buffer,bytes,1000000,1000000,bytes,99215542.0,ns,300
leak_buffer,bytes,1000000,1000000,bytes,114322583.0,ns,310
leak_buffer,bytes,1000000,1000000,bytes,97721208.0,ns,320
leak_buffer,bytes,1000000,1000000,bytes,249110667.0,ns,330
leak_buffer,bytes,1000000,1000000,bytes,136284708.0,ns,340
leak_buffer,bytes,1000000,1000000,bytes,193795834.0,ns,350
leak_buffer,bytes,1000000,1000000,bytes,147934916.0,ns,360
leak_buffer,bytes,1000000,1000000,bytes,123771666.0,ns,370
leak_buffer,bytes,1000000,1000000,bytes,130796625.0,ns,380
leak_buffer,bytes,1000000,1000000,bytes,168233500.0,ns,390
leak_buffer,bytes,1000000,1000000,bytes,192675000.0,ns,400
leak_buffer,bytes,1000000,1000000,bytes,174463083.0,ns,410
leak_buffer,bytes,1000000,1000000,bytes,162507208.0,ns,420
leak_buffer,bytes,1000000,1000000,bytes,171500208.0,ns,430
leak_buffer,bytes,1000000,1000000,bytes,205248125.0,ns,440
leak_buffer,bytes,1000000,1000000,bytes,195363417.0,ns,450
leak_buffer,bytes,1000000,1000000,bytes,180575500.0,ns,460
leak_buffer,bytes,1000000,1000000,bytes,191276833.0,ns,470
leak_buffer,bytes,1000000,1000000,bytes,170994916.0,ns,480
leak_buffer,bytes,1000000,1000000,bytes,177850708.0,ns,490
leak_buffer,bytes,1000000,1000000,bytes,162786167.0,ns,500
