group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
leak_buffer,,,,,926250.0,ns,3
leak_buffer,,,,,1802125.0,ns,6
leak_buffer,,,,,2729875.0,ns,9
leak_buffer,,,,,3569792.0,ns,12
leak_buffer,,,,,4752542.0,ns,15
leak_buffer,,,,,5933500.0,ns,18
leak_buffer,,,,,6402625.0,ns,21
leak_buffer,,,,,7504125.0,ns,24
leak_buffer,,,,,8124375.0,ns,27
leak_buffer,,,,,8508166.0,ns,30
leak_buffer,,,,,8426750.0,ns,33
leak_buffer,,,,,9458875.0,ns,36
leak_buffer,,,,,10334583.0,ns,39
leak_buffer,,,,,11070416.0,ns,42
leak_buffer,,,,,11961541.0,ns,45
leak_buffer,,,,,15961958.0,ns,48
leak_buffer,,,,,16363042.0,ns,51
leak_buffer,,,,,17064334.0,ns,54
leak_buffer,,,,,17813541.0,ns,57
leak_buffer,,,,,19363292.0,ns,60
leak_buffer,,,,,20271000.0,ns,63
leak_buffer,,,,,21179125.0,ns,66
leak_buffer,,,,,23998625.0,ns,69
leak_buffer,,,,,23953125.0,ns,72
leak_buffer,,,,,24566833.0,ns,75
leak_buffer,,,,,25124750.0,ns,78
leak_buffer,,,,,26442292.0,ns,81
leak_buffer,,,,,26736708.0,ns,84
leak_buffer,,,,,29174333.0,ns,87
leak_buffer,,,,,29441750.0,ns,90
leak_buffer,,,,,30012166.0,ns,93
leak_buffer,,,,,30718750.0,ns,96
leak_buffer,,,,,32568666.0,ns,99
leak_buffer,,,,,33359166.0,ns,102
leak_buffer,,,,,40224500.0,ns,105
leak_buffer,,,,,32394333.0,ns,108
leak_buffer,,,,,35580917.0,ns,111
leak_buffer,,,,,36214250.0,ns,114
leak_buffer,,,,,36905000.0,ns,117
leak_buffer,,,,,38370917.0,ns,120
leak_buffer,,,,,38480042.0,ns,123
leak_buffer,,,,,40492833.0,ns,126
leak_buffer,,,,,41532833.0,ns,129
leak_buffer,,,,,43295250.0,ns,132
leak_buffer,,,,,44081459.0,ns,135
leak_buffer,,,,,44978208.0,ns,138
leak_buffer,,,,,47934250.0,ns,141
leak_buffer,,,,,48214125.0,ns,144
leak_buffer,,,,,47701959.0,ns,147
leak_buffer,,,,,47976333.0,ns,150
leak_buffer,,,,,49101333.0,ns,153
leak_buffer,,,,,49831375.0,ns,156
leak_buffer,,,,,50924750.0,ns,159
leak_buffer,,,,,76203833.0,ns,162
leak_buffer,,,,,52612209.0,ns,165
leak_buffer,,,,,54280500.0,ns,168
leak_buffer,,,,,54582250.0,ns,171
leak_buffer,,,,,54614792.0,ns,174
leak_buffer,,,,,57015959.0,ns,177
leak_buffer,,,,,58891375.0,ns,180
leak_buffer,,,,,59034708.0,ns,183
leak_buffer,,,,,60115750.0,ns,186
leak_buffer,,,,,62142000.0,ns,189
leak_buffer,,,,,62845666.0,ns,192
leak_buffer,,,,,63787875.0,ns,195
leak_buffer,,,,,65124834.0,ns,198
leak_buffer,,,,,66110958.0,ns,201
leak_buffer,,,,,64618334.0,ns,204
leak_buffer,,,,,69979583.0,ns,207
leak_buffer,,,,,84210292.0,ns,210
leak_buffer,,,,,69715709.0,ns,213
leak_buffer,,,,,67768041.0,ns,216
leak_buffer,,,,,69115875.0,ns,219
leak_buffer,,,,,71205959.0,ns,222
leak_buffer,,,,,73728208.0,ns,225
leak_buffer,,,,,72771250.0,ns,228
leak_buffer,,,,,75230458.0,ns,231
leak_buffer,,,,,76776291.0,ns,234
leak_buffer,,,,,81029458.0,ns,237
leak_buffer,,,,,80294458.0,ns,240
leak_buffer,,,,,77966084.0,ns,243
leak_buffer,,,,,78337291.0,ns,246
leak_buffer,,,,,98030625.0,ns,249
leak_buffer,,,,,81065500.0,ns,252
leak_buffer,,,,,82738125.0,ns,255
leak_buffer,,,,,82468125.0,ns,258
leak_buffer,,,,,85270917.0,ns,261
leak_buffer,,,,,84220333.0,ns,264
leak_buffer,,,,,82116375.0,ns,267
leak_buffer,,,,,84781125.0,ns,270
leak_buffer,,,,,86662750.0,ns,273
leak_buffer,,,,,86771083.0,ns,276
leak_buffer,,,,,86752417.0,ns,279
leak_buffer,,,,,89803583.0,ns,282
leak_buffer,,,,,99686042.0,ns,285
leak_buffer,,,,,93215334.0,ns,288
leak_buffer,,,,,87763583.0,ns,291
leak_buffer,,,,,93423000.0,ns,294
leak_buffer,,,,,96110084.0,ns,297
leak_buffer,,,,,95534792.0,ns,300
