group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
normalize,,,,,47306375.0,ns,23
normalize,,,,,47514542.0,ns,23
normalize,,,,,68617500.0,ns,23
normalize,,,,,50136875.0,ns,23
normalize,,,,,48642084.0,ns,23
normalize,,,,,47745958.0,ns,23
normalize,,,,,43685209.0,ns,23
normalize,,,,,43897917.0,ns,23
normalize,,,,,47107958.0,ns,23
normalize,,,,,46431625.0,ns,23
normalize,,,,,47952833.0,ns,23
normalize,,,,,47214542.0,ns,23
normalize,,,,,44623167.0,ns,23
normalize,,,,,46180708.0,ns,23
normalize,,,,,45303875.0,ns,23
normalize,,,,,46046750.0,ns,23
normalize,,,,,46881042.0,ns,23
normalize,,,,,45385250.0,ns,23
normalize,,,,,45270334.0,ns,23
normalize,,,,,45425125.0,ns,23
normalize,,,,,45885500.0,ns,23
normalize,,,,,45267500.0,ns,23
normalize,,,,,48315500.0,ns,23
normalize,,,,,48301708.0,ns,23
normalize,,,,,44857875.0,ns,23
normalize,,,,,46196291.0,ns,23
normalize,,,,,46602625.0,ns,23
normalize,,,,,45934667.0,ns,23
normalize,,,,,45010375.0,ns,23
normalize,,,,,45241791.0,ns,23
normalize,,,,,49116584.0,ns,23
normalize,,,,,47091583.0,ns,23
normalize,,,,,46000708.0,ns,23
normalize,,,,,46123041.0,ns,23
normalize,,,,,46513250.0,ns,23
normalize,,,,,44946208.0,ns,23
normalize,,,,,46231084.0,ns,23
normalize,,,,,44805916.0,ns,23
normalize,,,,,46049959.0,ns,23
normalize,,,,,46472750.0,ns,23
normalize,,,,,45686208.0,ns,23
normalize,,,,,44795500.0,ns,23
normalize,,,,,46325042.0,ns,23
normalize,,,,,48008791.0,ns,23
normalize,,,,,47053042.0,ns,23
normalize,,,,,48463375.0,ns,23
normalize,,,,,46566125.0,ns,23
normalize,,,,,45524667.0,ns,23
normalize,,,,,45925125.0,ns,23
normalize,,,,,44244292.0,ns,23
normalize,,,,,42733458.0,ns,23
normalize,,,,,44737334.0,ns,23
normalize,,,,,46124875.0,ns,23
normalize,,,,,45867375.0,ns,23
normalize,,,,,45771208.0,ns,23
normalize,,,,,46718750.0,ns,23
normalize,,,,,45260916.0,ns,23
normalize,,,,,46607084.0,ns,23
normalize,,,,,45886250.0,ns,23
normalize,,,,,44904500.0,ns,23
normalize,,,,,44380542.0,ns,23
normalize,,,,,45486250.0,ns,23
normalize,,,,,45505834.0,ns,23
normalize,,,,,47417500.0,ns,23
normalize,,,,,44039667.0,ns,23
normalize,,,,,45495833.0,ns,23
normalize,,,,,46815500.0,ns,23
normalize,,,,,44664791.0,ns,23
normalize,,,,,44776208.0,ns,23
normalize,,,,,45613459.0,ns,23
normalize,,,,,46111584.0,ns,23
normalize,,,,,45205459.0,ns,23
normalize,,,,,44854208.0,ns,23
normalize,,,,,46034292.0,ns,23
normalize,,,,,48057125.0,ns,23
normalize,,,,,48354167.0,ns,23
normalize,,,,,48482875.0,ns,23
normalize,,,,,48138000.0,ns,23
normalize,,,,,46452708.0,ns,23
normalize,,,,,47295000.0,ns,23
normalize,,,,,46017958.0,ns,23
normalize,,,,,45082542.0,ns,23
normalize,,,,,45152625.0,ns,23
normalize,,,,,45422500.0,ns,23
normalize,,,,,47148125.0,ns,23
normalize,,,,,48141584.0,ns,23
normalize,,,,,45073042.0,ns,23
normalize,,,,,46102209.0,ns,23
normalize,,,,,50644291.0,ns,23
normalize,,,,,45544708.0,ns,23
normalize,,,,,45840709.0,ns,23
normalize,,,,,46397958.0,ns,23
normalize,,,,,43924417.0,ns,23
normalize,,,,,43066041.0,ns,23
normalize,,,,,46291792.0,ns,23
normalize,,,,,46281458.0,ns,23
normalize,,,,,46346625.0,ns,23
normalize,,,,,47034542.0,ns,23
normalize,,,,,46987917.0,ns,23
normalize,,,,,47130959.0,ns,23
