group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
normalize,words,50000,383334,bytes,4231917.0,ns,4
normalize,words,50000,383334,bytes,8587125.0,ns,8
normalize,words,50000,383334,bytes,13029917.0,ns,12
normalize,words,50000,383334,bytes,17328917.0,ns,16
normalize,words,50000,383334,bytes,22459875.0,ns,20
normalize,words,50000,383334,bytes,25600625.0,ns,24
normalize,words,50000,383334,bytes,33641209.0,ns,28
normalize,words,50000,383334,bytes,37897250.0,ns,32
normalize,words,50000,383334,bytes,40961208.0,ns,36
normalize,words,50000,383334,bytes,41664709.0,ns,40
normalize,words,50000,383334,bytes,45086625.0,ns,44
normalize,words,50000,383334,bytes,52960875.0,ns,48
normalize,words,50000,383334,bytes,57895333.0,ns,52
normalize,words,50000,383334,bytes,60380875.0,ns,56
normalize,words,50000,383334,bytes,67069292.0,ns,60
normalize,words,50000,383334,bytes,72789292.0,ns,64
normalize,words,50000,383334,bytes,79179917.0,ns,68
normalize,words,50000,383334,bytes,86636000.0,ns,72
normalize,words,50000,383334,bytes,85213250.0,ns,76
normalize,words,50000,383334,bytes,89380708.0,ns,80
normalize,words,50000,383334,bytes,105801459.0,ns,84
normalize,words,50000,383334,bytes,96656958.0,ns,88
normalize,words,50000,383334,bytes,96697042.0,ns,92
normalize,words,50000,383334,bytes,104197125.0,ns,96
normalize,words,50000,383334,bytes,110035916.0,ns,100
normalize,words,50000,383334,bytes,115010709.0,ns,104
normalize,words,50000,383334,bytes,119484792.0,ns,108
normalize,words,50000,383334,bytes,132196916.0,ns,112
normalize,words,50000,383334,bytes,125152458.0,ns,116
normalize,words,50000,383334,bytes,128111917.0,ns,120
normalize,words,50000,383334,bytes,142741625.0,ns,124
normalize,words,50000,383334,bytes,140427417.0,ns,128
normalize,words,50000,383334,bytes,159794834.0,ns,132
normalize,words,50000,383334,bytes,153774458.0,ns,136
normalize,words,50000,383334,bytes,153221125.0,ns,140
normalize,words,50000,383334,bytes,160553833.0,ns,144
normalize,words,50000,383334,bytes,162344333.0,ns,148
normalize,words,50000,383334,bytes,177527583.0,ns,152
normalize,words,50000,383334,bytes,183086834.0,ns,156
normalize,words,50000,383334,bytes,138118292.0,ns,160
normalize,words,50000,383334,bytes,180714000.0,ns,164
normalize,words,50000,383334,bytes,178803375.0,ns,168
normalize,words,50000,383334,bytes,189661542.0,ns,172
normalize,words,50000,383334,bytes,201769875.0,ns,176
normalize,words,50000,383334,bytes,231812708.0,ns,180
normalize,words,50000,383334,bytes,222843959.0,ns,184
normalize,words,50000,383334,bytes,221849541.0,ns,188
normalize,words,50000,383334,bytes,236071166.0,ns,192
normalize,words,50000,383334,bytes,337566125.0,ns,196
normalize,words,50000,383334,bytes,327971459.0,ns,200
