group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
race_increment,iters_threads,1000x4,,,21067666.0,ns,165
race_increment,iters_threads,1000x4,,,39551916.0,ns,330
race_increment,iters_threads,1000x4,,,61719792.0,ns,495
race_increment,iters_threads,1000x4,,,83985750.0,ns,660
race_increment,iters_threads,1000x4,,,112217458.0,ns,825
race_increment,iters_threads,1000x4,,,118179834.0,ns,990
race_increment,iters_threads,1000x4,,,137832584.0,ns,1155
race_increment,iters_threads,1000x4,,,164249041.0,ns,1320
race_increment,iters_threads,1000x4,,,179980000.0,ns,1485
race_increment,iters_threads,1000x4,,,204705833.0,ns,1650
race_increment,iters_threads,1000x4,,,220264125.0,ns,1815
race_increment,iters_threads,1000x4,,,239036834.0,ns,1980
race_increment,iters_threads,1000x4,,,271594791.0,ns,2145
race_increment,iters_threads,1000x4,,,276210959.0,ns,2310
race_increment,iters_threads,1000x4,,,300760583.0,ns,2475
race_increment,iters_threads,1000x4,,,334084000.0,ns,2640
race_increment,iters_threads,1000x4,,,337689625.0,ns,2805
race_increment,iters_threads,1000x4,,,368334125.0,ns,2970
race_increment,iters_threads,1000x4,,,381531875.0,ns,3135
race_increment,iters_threads,1000x4,,,407773125.0,ns,3300
