group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
slow_dedup,,,,,733209.0,ns,5
slow_dedup,,,,,2324875.0,ns,10
slow_dedup,,,,,2504709.0,ns,15
slow_dedup,,,,,3534083.0,ns,20
slow_dedup,,,,,5307917.0,ns,25
slow_dedup,,,,,5929208.0,ns,30
slow_dedup,,,,,6354458.0,ns,35
slow_dedup,,,,,7687000.0,ns,40
slow_dedup,,,,,8243459.0,ns,45
slow_dedup,,,,,8881459.0,ns,50
slow_dedup,,,,,10120750.0,ns,55
slow_dedup,,,,,11442958.0,ns,60
slow_dedup,,,,,11918875.0,ns,65
slow_dedup,,,,,12881916.0,ns,70
slow_dedup,,,,,13772125.0,ns,75
slow_dedup,,,,,14656875.0,ns,80
slow_dedup,,,,,15797208.0,ns,85
slow_dedup,,,,,16798042.0,ns,90
slow_dedup,,,,,17916416.0,ns,95
slow_dedup,,,,,17891375.0,ns,100
slow_dedup,,,,,21668708.0,ns,105
slow_dedup,,,,,19471917.0,ns,110
slow_dedup,,,,,21664667.0,ns,115
slow_dedup,,,,,23340375.0,ns,120
slow_dedup,,,,,23021375.0,ns,125
slow_dedup,,,,,21496459.0,ns,130
slow_dedup,,,,,25988833.0,ns,135
slow_dedup,,,,,27168583.0,ns,140
slow_dedup,,,,,26955833.0,ns,145
slow_dedup,,,,,27379375.0,ns,150
slow_dedup,,,,,27766375.0,ns,155
slow_dedup,,,,,28330292.0,ns,160
slow_dedup,,,,,29820375.0,ns,165
slow_dedup,,,,,32392375.0,ns,170
slow_dedup,,,,,32526667.0,ns,175
slow_dedup,,,,,33219375.0,ns,180
slow_dedup,,,,,34312083.0,ns,185
slow_dedup,,,,,35455292.0,ns,190
slow_dedup,,,,,36069167.0,ns,195
slow_dedup,,,,,36664208.0,ns,200
slow_dedup,,,,,37614125.0,ns,205
slow_dedup,,,,,39337375.0,ns,210
slow_dedup,,,,,39455167.0,ns,215
slow_dedup,,,,,40585416.0,ns,220
slow_dedup,,,,,41210375.0,ns,225
slow_dedup,,,,,43170666.0,ns,230
slow_dedup,,,,,44066959.0,ns,235
slow_dedup,,,,,46190625.0,ns,240
slow_dedup,,,,,46249000.0,ns,245
slow_dedup,,,,,48221833.0,ns,250
slow_dedup,,,,,67644500.0,ns,255
slow_dedup,,,,,53791416.0,ns,260
slow_dedup,,,,,49154583.0,ns,265
slow_dedup,,,,,50022958.0,ns,270
slow_dedup,,,,,49549958.0,ns,275
slow_dedup,,,,,49358208.0,ns,280
slow_dedup,,,,,53929458.0,ns,285
slow_dedup,,,,,53039750.0,ns,290
slow_dedup,,,,,55269292.0,ns,295
slow_dedup,,,,,55908209.0,ns,300
slow_dedup,,,,,55524208.0,ns,305
slow_dedup,,,,,58111541.0,ns,310
slow_dedup,,,,,57584000.0,ns,315
slow_dedup,,,,,59642292.0,ns,320
slow_dedup,,,,,60071750.0,ns,325
slow_dedup,,,,,63227125.0,ns,330
slow_dedup,,,,,64067083.0,ns,335
slow_dedup,,,,,65142334.0,ns,340
slow_dedup,,,,,76069042.0,ns,345
slow_dedup,,,,,65159834.0,ns,350
slow_dedup,,,,,65539375.0,ns,355
slow_dedup,,,,,64751375.0,ns,360
slow_dedup,,,,,67888708.0,ns,365
slow_dedup,,,,,67160417.0,ns,370
slow_dedup,,,,,69428167.0,ns,375
slow_dedup,,,,,70516125.0,ns,380
slow_dedup,,,,,70208500.0,ns,385
slow_dedup,,,,,71300625.0,ns,390
slow_dedup,,,,,71923417.0,ns,395
slow_dedup,,,,,74654375.0,ns,400
slow_dedup,,,,,74432292.0,ns,405
slow_dedup,,,,,73753417.0,ns,410
slow_dedup,,,,,86537833.0,ns,415
slow_dedup,,,,,75125208.0,ns,420
slow_dedup,,,,,75402833.0,ns,425
slow_dedup,,,,,73133458.0,ns,430
slow_dedup,,,,,78685334.0,ns,435
slow_dedup,,,,,80363458.0,ns,440
slow_dedup,,,,,81576334.0,ns,445
slow_dedup,,,,,84291333.0,ns,450
slow_dedup,,,,,83617834.0,ns,455
slow_dedup,,,,,82412000.0,ns,460
slow_dedup,,,,,81323292.0,ns,465
slow_dedup,,,,,83415583.0,ns,470
slow_dedup,,,,,83772708.0,ns,475
slow_dedup,,,,,88355000.0,ns,480
slow_dedup,,,,,88209500.0,ns,485
slow_dedup,,,,,80956125.0,ns,490
slow_dedup,,,,,69904000.0,ns,495
slow_dedup,,,,,90248709.0,ns,500
