group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
slow_dedup,pairs,5000,10000,elements,49152709.0,ns,3
slow_dedup,pairs,5000,10000,elements,103257749.0,ns,6
slow_dedup,pairs,5000,10000,elements,171253167.0,ns,9
slow_dedup,pairs,5000,10000,elements,216797209.0,ns,12
slow_dedup,pairs,5000,10000,elements,248058626.0,ns,15
slow_dedup,pairs,5000,10000,elements,297069209.0,ns,18
slow_dedup,pairs,5000,10000,elements,353681748.0,ns,21
slow_dedup,pairs,5000,10000,elements,391276042.0,ns,24
slow_dedup,pairs,5000,10000,elements,447498165.0,ns,27
slow_dedup,pairs,5000,10000,elements,492629375.0,ns,30
slow_dedup,pairs,5000,10000,elements,540863834.0,ns,33
slow_dedup,pairs,5000,10000,elements,604830418.0,ns,36
slow_dedup,pairs,5000,10000,elements,643769043.0,ns,39
slow_dedup,pairs,5000,10000,elements,693266707.0,ns,42
slow_dedup,pairs,5000,10000,elements,737910583.0,ns,45
slow_dedup,pairs,5000,10000,elements,786916543.0,ns,48
slow_dedup,pairs,5000,10000,elements,827138832.0,ns,51
slow_dedup,pairs,5000,10000,elements,902337000.0,ns,54
slow_dedup,pairs,5000,10000,elements,933086376.0,ns,57
slow_dedup,pairs,5000,10000,elements,986655624.0,ns,60
