group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
slow_fib,n,20,,,16782834.0,ns,460
slow_fib,n,20,,,32045208.0,ns,920
slow_fib,n,20,,,49746292.0,ns,1380
slow_fib,n,20,,,66195208.0,ns,1840
slow_fib,n,20,,,81425209.0,ns,2300
slow_fib,n,20,,,105892292.0,ns,2760
slow_fib,n,20,,,113708541.0,ns,3220
slow_fib,n,20,,,130375458.0,ns,3680
slow_fib,n,20,,,166549917.0,ns,4140
slow_fib,n,20,,,172779000.0,ns,4600
slow_fib,n,20,,,190861750.0,ns,5060
slow_fib,n,20,,,192619166.0,ns,5520
slow_fib,n,20,,,211617375.0,ns,5980
slow_fib,n,20,,,231717959.0,ns,6440
slow_fib,n,20,,,251046042.0,ns,6900
slow_fib,n,20,,,262802958.0,ns,7360
slow_fib,n,20,,,412878208.0,ns,7820
slow_fib,n,20,,,295608958.0,ns,8280
slow_fib,n,20,,,336133375.0,ns,8740
slow_fib,n,20,,,331068083.0,ns,9200
slow_fib,n,20,,,364065958.0,ns,9660
slow_fib,n,20,,,364939792.0,ns,10120
slow_fib,n,20,,,381445333.0,ns,10580
slow_fib,n,20,,,428260041.0,ns,11040
slow_fib,n,20,,,675286458.0,ns,11500
slow_fib,n,20,,,756952208.0,ns,11960
slow_fib,n,20,,,474197208.0,ns,12420
slow_fib,n,20,,,468878291.0,ns,12880
slow_fib,n,20,,,492748334.0,ns,13340
slow_fib,n,20,,,496426792.0,ns,13800
