group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
slow_fib,,,,,1121291.0,ns,23381
slow_fib,,,,,1640292.0,ns,46762
slow_fib,,,,,2488000.0,ns,70143
slow_fib,,,,,3250083.0,ns,93524
slow_fib,,,,,4186958.0,ns,116905
slow_fib,,,,,5672209.0,ns,140286
slow_fib,,,,,7786167.0,ns,163667
slow_fib,,,,,7643917.0,ns,187048
slow_fib,,,,,8986584.0,ns,210429
slow_fib,,,,,9699083.0,ns,233810
slow_fib,,,,,9871500.0,ns,257191
slow_fib,,,,,10684167.0,ns,280572
slow_fib,,,,,11783792.0,ns,303953
slow_fib,,,,,11739042.0,ns,327334
slow_fib,,,,,12888875.0,ns,350715
slow_fib,,,,,13440875.0,ns,374096
slow_fib,,,,,14409500.0,ns,397477
slow_fib,,,,,14919542.0,ns,420858
slow_fib,,,,,17329542.0,ns,444239
slow_fib,,,,,16606375.0,ns,467620
slow_fib,,,,,17334791.0,ns,491001
slow_fib,,,,,18827291.0,ns,514382
slow_fib,,,,,19556458.0,ns,537763
slow_fib,,,,,20346083.0,ns,561144
slow_fib,,,,,20359958.0,ns,584525
slow_fib,,,,,22735417.0,ns,607906
slow_fib,,,,,22401291.0,ns,631287
slow_fib,,,,,23907584.0,ns,654668
slow_fib,,,,,25701125.0,ns,678049
slow_fib,,,,,25397542.0,ns,701430
slow_fib,,,,,26725459.0,ns,724811
slow_fib,,,,,26481250.0,ns,748192
slow_fib,,,,,28132541.0,ns,771573
slow_fib,,,,,28991750.0,ns,794954
slow_fib,,,,,30439333.0,ns,818335
slow_fib,,,,,30555125.0,ns,841716
slow_fib,,,,,31695042.0,ns,865097
slow_fib,,,,,30792000.0,ns,888478
slow_fib,,,,,32182292.0,ns,911859
slow_fib,,,,,33862667.0,ns,935240
slow_fib,,,,,34374084.0,ns,958621
slow_fib,,,,,36200666.0,ns,982002
slow_fib,,,,,35218708.0,ns,1005383
slow_fib,,,,,36513125.0,ns,1028764
slow_fib,,,,,36757958.0,ns,1052145
slow_fib,,,,,40722084.0,ns,1075526
slow_fib,,,,,40203042.0,ns,1098907
slow_fib,,,,,40227666.0,ns,1122288
slow_fib,,,,,41455000.0,ns,1145669
slow_fib,,,,,41992375.0,ns,1169050
slow_fib,,,,,43753834.0,ns,1192431
slow_fib,,,,,44554708.0,ns,1215812
slow_fib,,,,,44488875.0,ns,1239193
slow_fib,,,,,45055334.0,ns,1262574
slow_fib,,,,,46688292.0,ns,1285955
slow_fib,,,,,46837500.0,ns,1309336
slow_fib,,,,,47770791.0,ns,1332717
slow_fib,,,,,50627541.0,ns,1356098
slow_fib,,,,,49882334.0,ns,1379479
slow_fib,,,,,51003916.0,ns,1402860
slow_fib,,,,,51063167.0,ns,1426241
slow_fib,,,,,60645375.0,ns,1449622
slow_fib,,,,,53972625.0,ns,1473003
slow_fib,,,,,54210417.0,ns,1496384
slow_fib,,,,,55109417.0,ns,1519765
slow_fib,,,,,52625375.0,ns,1543146
slow_fib,,,,,56655000.0,ns,1566527
slow_fib,,,,,54319167.0,ns,1589908
slow_fib,,,,,55739709.0,ns,1613289
slow_fib,,,,,57018375.0,ns,1636670
slow_fib,,,,,56807833.0,ns,1660051
slow_fib,,,,,58465791.0,ns,1683432
slow_fib,,,,,58301042.0,ns,1706813
slow_fib,,,,,58842916.0,ns,1730194
slow_fib,,,,,59996000.0,ns,1753575
slow_fib,,,,,63347583.0,ns,1776956
slow_fib,,,,,60713875.0,ns,1800337
slow_fib,,,,,62856917.0,ns,1823718
slow_fib,,,,,66472041.0,ns,1847099
slow_fib,,,,,64794666.0,ns,1870480
slow_fib,,,,,66912500.0,ns,1893861
slow_fib,,,,,65630292.0,ns,1917242
slow_fib,,,,,70731333.0,ns,1940623
slow_fib,,,,,73984708.0,ns,1964004
slow_fib,,,,,71420167.0,ns,1987385
slow_fib,,,,,69250333.0,ns,2010766
slow_fib,,,,,70015334.0,ns,2034147
slow_fib,,,,,70829125.0,ns,2057528
slow_fib,,,,,71365333.0,ns,2080909
slow_fib,,,,,72244084.0,ns,2104290
slow_fib,,,,,73782291.0,ns,2127671
slow_fib,,,,,74398375.0,ns,2151052
slow_fib,,,,,79091458.0,ns,2174433
slow_fib,,,,,80524583.0,ns,2197814
slow_fib,,,,,75492500.0,ns,2221195
slow_fib,,,,,76455167.0,ns,2244576
slow_fib,,,,,79663375.0,ns,2267957
slow_fib,,,,,78925291.0,ns,2291338
slow_fib,,,,,83219666.0,ns,2314719
slow_fib,,,,,81136125.0,ns,2338100
