group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sum_even,elements,500000,500000,elements,3265708.0,ns,5
sum_even,elements,500000,500000,elements,7554958.0,ns,10
sum_even,elements,500000,500000,elements,10892875.0,ns,15
sum_even,elements,500000,500000,elements,14923959.0,ns,20
sum_even,elements,500000,500000,elements,18551000.0,ns,25
sum_even,elements,500000,500000,elements,22752625.0,ns,30
sum_even,elements,500000,500000,elements,27116250.0,ns,35
sum_even,elements,500000,500000,elements,31104542.0,ns,40
sum_even,elements,500000,500000,elements,35016834.0,ns,45
sum_even,elements,500000,500000,elements,37891375.0,ns,50
sum_even,elements,500000,500000,elements,44014542.0,ns,55
sum_even,elements,500000,500000,elements,43203583.0,ns,60
sum_even,elements,500000,500000,elements,92635167.0,ns,65
sum_even,elements,500000,500000,elements,67206917.0,ns,70
sum_even,elements,500000,500000,elements,55763958.0,ns,75
sum_even,elements,500000,500000,elements,59380667.0,ns,80
sum_even,elements,500000,500000,elements,64191834.0,ns,85
sum_even,elements,500000,500000,elements,72185542.0,ns,90
sum_even,elements,500000,500000,elements,72171750.0,ns,95
sum_even,elements,500000,500000,elements,75577542.0,ns,100
sum_even,elements,500000,500000,elements,77837125.0,ns,105
sum_even,elements,500000,500000,elements,82016417.0,ns,110
sum_even,elements,500000,500000,elements,91385583.0,ns,115
sum_even,elements,500000,500000,elements,90555958.0,ns,120
sum_even,elements,500000,500000,elements,90648833.0,ns,125
sum_even,elements,500000,500000,elements,96932667.0,ns,130
sum_even,elements,500000,500000,elements,122979875.0,ns,135
sum_even,elements,500000,500000,elements,137853834.0,ns,140
sum_even,elements,500000,500000,elements,110392500.0,ns,145
sum_even,elements,500000,500000,elements,104297166.0,ns,150
sum_even,elements,500000,500000,elements,86411625.0,ns,155
sum_even,elements,500000,500000,elements,82855916.0,ns,160
sum_even,elements,500000,500000,elements,83921166.0,ns,165
sum_even,elements,500000,500000,elements,92327291.0,ns,170
sum_even,elements,500000,500000,elements,114126750.0,ns,175
sum_even,elements,500000,500000,elements,127773459.0,ns,180
sum_even,elements,500000,500000,elements,130341375.0,ns,185
sum_even,elements,500000,500000,elements,140610584.0,ns,190
sum_even,elements,500000,500000,elements,166658875.0,ns,195
sum_even,elements,500000,500000,elements,148678458.0,ns,200
sum_even,elements,500000,500000,elements,153015666.0,ns,205
sum_even,elements,500000,500000,elements,154665375.0,ns,210
sum_even,elements,500000,500000,elements,157819750.0,ns,215
sum_even,elements,500000,500000,elements,163142625.0,ns,220
sum_even,elements,500000,500000,elements,164857958.0,ns,225
sum_even,elements,500000,500000,elements,166124667.0,ns,230
sum_even,elements,500000,500000,elements,175406250.0,ns,235
sum_even,elements,500000,500000,elements,225621333.0,ns,240
sum_even,elements,500000,500000,elements,179085041.0,ns,245
sum_even,elements,500000,500000,elements,188373833.0,ns,250
