group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sum_even,,,,,738667.0,ns,5
sum_even,,,,,1482375.0,ns,10
sum_even,,,,,3642500.0,ns,15
sum_even,,,,,3831000.0,ns,20
sum_even,,,,,5076959.0,ns,25
sum_even,,,,,6672625.0,ns,30
sum_even,,,,,6226583.0,ns,35
sum_even,,,,,8029250.0,ns,40
sum_even,,,,,9538959.0,ns,45
sum_even,,,,,9398541.0,ns,50
sum_even,,,,,10002542.0,ns,55
sum_even,,,,,12008542.0,ns,60
sum_even,,,,,12725458.0,ns,65
sum_even,,,,,12439167.0,ns,70
sum_even,,,,,15575292.0,ns,75
sum_even,,,,,14605791.0,ns,80
sum_even,,,,,15536000.0,ns,85
sum_even,,,,,18268500.0,ns,90
sum_even,,,,,18241542.0,ns,95
sum_even,,,,,21538375.0,ns,100
sum_even,,,,,22614167.0,ns,105
sum_even,,,,,23987125.0,ns,110
sum_even,,,,,23510417.0,ns,115
sum_even,,,,,25451000.0,ns,120
sum_even,,,,,25321000.0,ns,125
sum_even,,,,,31589542.0,ns,130
sum_even,,,,,26944833.0,ns,135
sum_even,,,,,27079167.0,ns,140
sum_even,,,,,26275959.0,ns,145
sum_even,,,,,29448000.0,ns,150
sum_even,,,,,30406958.0,ns,155
sum_even,,,,,30258667.0,ns,160
sum_even,,,,,33296167.0,ns,165
sum_even,,,,,35205292.0,ns,170
sum_even,,,,,33640250.0,ns,175
sum_even,,,,,33894917.0,ns,180
sum_even,,,,,35087000.0,ns,185
sum_even,,,,,42177416.0,ns,190
sum_even,,,,,50310625.0,ns,195
sum_even,,,,,40950334.0,ns,200
sum_even,,,,,42457041.0,ns,205
sum_even,,,,,39799958.0,ns,210
sum_even,,,,,40139458.0,ns,215
sum_even,,,,,39469875.0,ns,220
sum_even,,,,,40297000.0,ns,225
sum_even,,,,,44143125.0,ns,230
sum_even,,,,,51134333.0,ns,235
sum_even,,,,,49361125.0,ns,240
sum_even,,,,,52797417.0,ns,245
sum_even,,,,,47184375.0,ns,250
sum_even,,,,,48169125.0,ns,255
sum_even,,,,,49392125.0,ns,260
sum_even,,,,,52669334.0,ns,265
sum_even,,,,,59096417.0,ns,270
sum_even,,,,,54156750.0,ns,275
sum_even,,,,,59732625.0,ns,280
sum_even,,,,,64640875.0,ns,285
sum_even,,,,,59238834.0,ns,290
sum_even,,,,,60948417.0,ns,295
sum_even,,,,,59207125.0,ns,300
sum_even,,,,,66558833.0,ns,305
sum_even,,,,,65215917.0,ns,310
sum_even,,,,,137037333.0,ns,315
sum_even,,,,,122454667.0,ns,320
sum_even,,,,,76114584.0,ns,325
sum_even,,,,,201144917.0,ns,330
sum_even,,,,,85522083.0,ns,335
sum_even,,,,,75177166.0,ns,340
sum_even,,,,,234020334.0,ns,345
sum_even,,,,,290617583.0,ns,350
sum_even,,,,,391750041.0,ns,355
sum_even,,,,,132423834.0,ns,360
sum_even,,,,,108635834.0,ns,365
sum_even,,,,,101107375.0,ns,370
sum_even,,,,,98911458.0,ns,375
sum_even,,,,,95245959.0,ns,380
sum_even,,,,,93888750.0,ns,385
sum_even,,,,,83420334.0,ns,390
sum_even,,,,,83454667.0,ns,395
sum_even,,,,,84352375.0,ns,400
sum_even,,,,,87672583.0,ns,405
sum_even,,,,,87277375.0,ns,410
sum_even,,,,,88634292.0,ns,415
sum_even,,,,,204287250.0,ns,420
sum_even,,,,,87041292.0,ns,425
sum_even,,,,,95399166.0,ns,430
sum_even,,,,,93606833.0,ns,435
sum_even,,,,,94151708.0,ns,440
sum_even,,,,,95797917.0,ns,445
sum_even,,,,,97136375.0,ns,450
sum_even,,,,,100961584.0,ns,455
sum_even,,,,,98792625.0,ns,460
sum_even,,,,,97821708.0,ns,465
sum_even,,,,,103232542.0,ns,470
sum_even,,,,,103281459.0,ns,475
sum_even,,,,,100086292.0,ns,480
sum_even,,,,,105818667.0,ns,485
sum_even,,,,,100556542.0,ns,490
sum_even,,,,,101420917.0,ns,495
sum_even,,,,,105016708.0,ns,500
