group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
average_positive,,,,,1135667.0,ns,4
average_positive,,,,,2471792.0,ns,8
average_positive,,,,,4083875.0,ns,12
average_positive,,,,,4744666.0,ns,16
average_positive,,,,,6106417.0,ns,20
average_positive,,,,,7439750.0,ns,24
average_positive,,,,,8862750.0,ns,28
average_positive,,,,,9817042.0,ns,32
average_positive,,,,,11556292.0,ns,36
average_positive,,,,,11480791.0,ns,40
average_positive,,,,,13749791.0,ns,44
average_positive,,,,,14237875.0,ns,48
average_positive,,,,,16033833.0,ns,52
average_positive,,,,,17483417.0,ns,56
average_positive,,,,,17568167.0,ns,60
average_positive,,,,,19099542.0,ns,64
average_positive,,,,,20302916.0,ns,68
average_positive,,,,,21548291.0,ns,72
average_positive,,,,,22841583.0,ns,76
average_positive,,,,,23902458.0,ns,80
average_positive,,,,,25105667.0,ns,84
average_positive,,,,,24294833.0,ns,88
average_positive,,,,,26000208.0,ns,92
average_positive,,,,,27341833.0,ns,96
average_positive,,,,,29405875.0,ns,100
average_positive,,,,,31842791.0,ns,104
average_positive,,,,,30827917.0,ns,108
average_positive,,,,,34633667.0,ns,112
average_positive,,,,,36091625.0,ns,116
average_positive,,,,,34131583.0,ns,120
average_positive,,,,,36017583.0,ns,124
average_positive,,,,,40156916.0,ns,128
average_positive,,,,,39213916.0,ns,132
average_positive,,,,,40016708.0,ns,136
average_positive,,,,,40330917.0,ns,140
average_positive,,,,,41539708.0,ns,144
average_positive,,,,,44810500.0,ns,148
average_positive,,,,,45626000.0,ns,152
average_positive,,,,,43867125.0,ns,156
average_positive,,,,,46167042.0,ns,160
average_positive,,,,,55671375.0,ns,164
average_positive,,,,,53283084.0,ns,168
average_positive,,,,,55501084.0,ns,172
average_positive,,,,,54914125.0,ns,176
average_positive,,,,,53971416.0,ns,180
average_positive,,,,,53727333.0,ns,184
average_positive,,,,,54453584.0,ns,188
average_positive,,,,,54718875.0,ns,192
average_positive,,,,,56026250.0,ns,196
average_positive,,,,,58202291.0,ns,200
average_positive,,,,,58979041.0,ns,204
average_positive,,,,,59428958.0,ns,208
average_positive,,,,,61146750.0,ns,212
average_positive,,,,,61333584.0,ns,216
average_positive,,,,,63059833.0,ns,220
average_positive,,,,,64546834.0,ns,224
average_positive,,,,,65396625.0,ns,228
average_positive,,,,,68886875.0,ns,232
average_positive,,,,,68172166.0,ns,236
average_positive,,,,,68093583.0,ns,240
average_positive,,,,,70804875.0,ns,244
average_positive,,,,,71898875.0,ns,248
average_positive,,,,,74651000.0,ns,252
average_positive,,,,,74595333.0,ns,256
average_positive,,,,,77268208.0,ns,260
average_positive,,,,,77951209.0,ns,264
average_positive,,,,,77383584.0,ns,268
average_positive,,,,,78426083.0,ns,272
average_positive,,,,,78749083.0,ns,276
average_positive,,,,,78543541.0,ns,280
average_positive,,,,,83154583.0,ns,284
average_positive,,,,,83418541.0,ns,288
average_positive,,,,,85244417.0,ns,292
average_positive,,,,,84500334.0,ns,296
average_positive,,,,,84550667.0,ns,300
average_positive,,,,,85877250.0,ns,304
average_positive,,,,,88429542.0,ns,308
average_positive,,,,,92688625.0,ns,312
average_positive,,,,,91746500.0,ns,316
average_positive,,,,,90604833.0,ns,320
average_positive,,,,,102440291.0,ns,324
average_positive,,,,,104326833.0,ns,328
average_positive,,,,,100655000.0,ns,332
average_positive,,,,,104076584.0,ns,336
average_positive,,,,,103471167.0,ns,340
average_positive,,,,,97505916.0,ns,344
average_positive,,,,,98371875.0,ns,348
average_positive,,,,,102235500.0,ns,352
average_positive,,,,,101892625.0,ns,356
average_positive,,,,,104530875.0,ns,360
average_positive,,,,,106995333.0,ns,364
average_positive,,,,,103653167.0,ns,368
average_positive,,,,,105658292.0,ns,372
average_positive,,,,,109983625.0,ns,376
average_positive,,,,,109013000.0,ns,380
average_positive,,,,,108318000.0,ns,384
average_positive,,,,,113450250.0,ns,388
average_positive,,,,,116531250.0,ns,392
average_positive,,,,,117974459.0,ns,396
average_positive,,,,,120876334.0,ns,400
