group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
leak_buffer,bytes,4096,4096,bytes,34044250.0,ns,2280
leak_buffer,bytes,4096,4096,bytes,13868416.0,ns,4560
leak_buffer,bytes,4096,4096,bytes,14131875.0,ns,6840
leak_buffer,bytes,4096,4096,bytes,17175375.0,ns,9120
leak_buffer,bytes,4096,4096,bytes,15101166.0,ns,11400
leak_buffer,bytes,4096,4096,bytes,18960333.0,ns,13680
leak_buffer,bytes,4096,4096,bytes,23036666.0,ns,15960
leak_buffer,bytes,4096,4096,bytes,23206834.0,ns,18240
leak_buffer,bytes,4096,4096,bytes,35565125.0,ns,20520
leak_buffer,bytes,4096,4096,bytes,24746417.0,ns,22800
leak_buffer,bytes,4096,4096,bytes,30151750.0,ns,25080
leak_buffer,bytes,4096,4096,bytes,34258000.0,ns,27360
leak_buffer,bytes,4096,4096,bytes,39174917.0,ns,29640
leak_buffer,bytes,4096,4096,bytes,40481834.0,ns,31920
leak_buffer,bytes,4096,4096,bytes,45190458.0,ns,34200
leak_buffer,bytes,4096,4096,bytes,48229666.0,ns,36480
leak_buffer,bytes,4096,4096,bytes,51859500.0,ns,38760
leak_buffer,bytes,4096,4096,bytes,59057500.0,ns,41040
leak_buffer,bytes,4096,4096,bytes,56234750.0,ns,43320
leak_buffer,bytes,4096,4096,bytes,61240958.0,ns,45600
leak_buffer,bytes,4096,4096,bytes,62016583.0,ns,47880
leak_buffer,bytes,4096,4096,bytes,67105291.0,ns,50160
leak_buffer,bytes,4096,4096,bytes,81839583.0,ns,52440
leak_buffer,bytes,4096,4096,bytes,73158334.0,ns,54720
leak_buffer,bytes,4096,4096,bytes,72010292.0,ns,57000
leak_buffer,bytes,4096,4096,bytes,78413542.0,ns,59280
leak_buffer,bytes,4096,4096,bytes,83024792.0,ns,61560
leak_buffer,bytes,4096,4096,bytes,87481041.0,ns,63840
leak_buffer,bytes,4096,4096,bytes,89780375.0,ns,66120
leak_buffer,bytes,4096,4096,bytes,99501375.0,ns,68400
leak_buffer,bytes,4096,4096,bytes,95444375.0,ns,70680
leak_buffer,bytes,4096,4096,bytes,108498292.0,ns,72960
leak_buffer,bytes,4096,4096,bytes,104861625.0,ns,75240
leak_buffer,bytes,4096,4096,bytes,106896000.0,ns,77520
leak_buffer,bytes,4096,4096,bytes,109551916.0,ns,79800
leak_buffer,bytes,4096,4096,bytes,114834834.0,ns,82080
leak_buffer,bytes,4096,4096,bytes,111614375.0,ns,84360
leak_buffer,bytes,4096,4096,bytes,170751584.0,ns,86640
leak_buffer,bytes,4096,4096,bytes,120323083.0,ns,88920
leak_buffer,bytes,4096,4096,bytes,126675041.0,ns,91200
leak_buffer,bytes,4096,4096,bytes,135687042.0,ns,93480
leak_buffer,bytes,4096,4096,bytes,143367083.0,ns,95760
leak_buffer,bytes,4096,4096,bytes,137048750.0,ns,98040
leak_buffer,bytes,4096,4096,bytes,140188166.0,ns,100320
leak_buffer,bytes,4096,4096,bytes,130922166.0,ns,102600
leak_buffer,bytes,4096,4096,bytes,135642166.0,ns,104880
leak_buffer,bytes,4096,4096,bytes,154445166.0,ns,107160
leak_buffer,bytes,4096,4096,bytes,157434666.0,ns,109440
leak_buffer,bytes,4096,4096,bytes,175488416.0,ns,111720
leak_buffer,bytes,4096,4096,bytes,155766709.0,ns,114000
