group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
normalize,,,,,2070333.0,ns,2
normalize,,,,,4052958.0,ns,4
normalize,,,,,5794834.0,ns,6
normalize,,,,,7727625.0,ns,8
normalize,,,,,9799458.0,ns,10
normalize,,,,,11623917.0,ns,12
normalize,,,,,13625084.0,ns,14
normalize,,,,,15439833.0,ns,16
normalize,,,,,17363834.0,ns,18
normalize,,,,,19638667.0,ns,20
normalize,,,,,21649208.0,ns,22
normalize,,,,,23179334.0,ns,24
normalize,,,,,25044916.0,ns,26
normalize,,,,,27004208.0,ns,28
normalize,,,,,28932375.0,ns,30
normalize,,,,,30887500.0,ns,32
normalize,,,,,32747292.0,ns,34
normalize,,,,,34657834.0,ns,36
normalize,,,,,36954709.0,ns,38
normalize,,,,,39549250.0,ns,40
normalize,,,,,41363708.0,ns,42
normalize,,,,,42448208.0,ns,44
normalize,,,,,44324167.0,ns,46
normalize,,,,,46273542.0,ns,48
normalize,,,,,48205292.0,ns,50
normalize,,,,,50070542.0,ns,52
normalize,,,,,52082000.0,ns,54
normalize,,,,,53991125.0,ns,56
normalize,,,,,55878709.0,ns,58
normalize,,,,,57780084.0,ns,60
normalize,,,,,59782375.0,ns,62
normalize,,,,,61858916.0,ns,64
normalize,,,,,64251750.0,ns,66
normalize,,,,,66131250.0,ns,68
normalize,,,,,67500084.0,ns,70
normalize,,,,,69411833.0,ns,72
normalize,,,,,71259750.0,ns,74
normalize,,,,,73242500.0,ns,76
normalize,,,,,75148708.0,ns,78
normalize,,,,,77126375.0,ns,80
normalize,,,,,79537250.0,ns,82
normalize,,,,,81925833.0,ns,84
normalize,,,,,83651333.0,ns,86
normalize,,,,,88093750.0,ns,88
normalize,,,,,88683834.0,ns,90
normalize,,,,,89105125.0,ns,92
normalize,,,,,90537666.0,ns,94
normalize,,,,,100376750.0,ns,96
normalize,,,,,95861792.0,ns,98
normalize,,,,,97209708.0,ns,100
normalize,,,,,100357458.0,ns,102
normalize,,,,,101024583.0,ns,104
normalize,,,,,102234834.0,ns,106
normalize,,,,,104091667.0,ns,108
normalize,,,,,106074750.0,ns,110
normalize,,,,,108014625.0,ns,112
normalize,,,,,109870959.0,ns,114
normalize,,,,,111714000.0,ns,116
normalize,,,,,113710167.0,ns,118
normalize,,,,,115638750.0,ns,120
normalize,,,,,119434542.0,ns,122
normalize,,,,,120283166.0,ns,124
normalize,,,,,121503125.0,ns,126
normalize,,,,,123494083.0,ns,128
normalize,,,,,125259458.0,ns,130
normalize,,,,,127225833.0,ns,132
normalize,,,,,129242500.0,ns,134
normalize,,,,,131868084.0,ns,136
normalize,,,,,134622125.0,ns,138
normalize,,,,,135148500.0,ns,140
normalize,,,,,137636458.0,ns,142
normalize,,,,,144663375.0,ns,144
normalize,,,,,148589541.0,ns,146
normalize,,,,,148465333.0,ns,148
normalize,,,,,165670250.0,ns,150
normalize,,,,,153514875.0,ns,152
normalize,,,,,150111042.0,ns,154
normalize,,,,,151635125.0,ns,156
normalize,,,,,153211583.0,ns,158
normalize,,,,,155332459.0,ns,160
normalize,,,,,157264083.0,ns,162
normalize,,,,,159109209.0,ns,164
normalize,,,,,160921792.0,ns,166
normalize,,,,,164988500.0,ns,168
normalize,,,,,166064458.0,ns,170
normalize,,,,,167960917.0,ns,172
normalize,,,,,171910959.0,ns,174
normalize,,,,,171191292.0,ns,176
normalize,,,,,172066541.0,ns,178
normalize,,,,,178041750.0,ns,180
normalize,,,,,201822125.0,ns,182
normalize,,,,,192111584.0,ns,184
normalize,,,,,186606542.0,ns,186
normalize,,,,,182886208.0,ns,188
normalize,,,,,184840375.0,ns,190
normalize,,,,,191271625.0,ns,192
normalize,,,,,187205958.0,ns,194
normalize,,,,,189293125.0,ns,196
normalize,,,,,191403708.0,ns,198
normalize,,,,,196266250.0,ns,200
