group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
normalize,words,50,384,bytes,4187667.0,ns,2409
normalize,words,50,384,bytes,8745125.0,ns,4818
normalize,words,50,384,bytes,12863417.0,ns,7227
normalize,words,50,384,bytes,16808416.0,ns,9636
normalize,words,50,384,bytes,20890375.0,ns,12045
normalize,words,50,384,bytes,25391583.0,ns,14454
normalize,words,50,384,bytes,29747125.0,ns,16863
normalize,words,50,384,bytes,31812708.0,ns,19272
normalize,words,50,384,bytes,34943833.0,ns,21681
normalize,words,50,384,bytes,40333667.0,ns,24090
normalize,words,50,384,bytes,40310334.0,ns,26499
normalize,words,50,384,bytes,55278583.0,ns,28908
normalize,words,50,384,bytes,48658833.0,ns,31317
normalize,words,50,384,bytes,58040958.0,ns,33726
normalize,words,50,384,bytes,55838459.0,ns,36135
normalize,words,50,384,bytes,61528458.0,ns,38544
normalize,words,50,384,bytes,66466958.0,ns,40953
normalize,words,50,384,bytes,70139208.0,ns,43362
normalize,words,50,384,bytes,75548417.0,ns,45771
normalize,words,50,384,bytes,77677625.0,ns,48180
normalize,words,50,384,bytes,83014417.0,ns,50589
normalize,words,50,384,bytes,88671417.0,ns,52998
normalize,words,50,384,bytes,101183541.0,ns,55407
normalize,words,50,384,bytes,89515125.0,ns,57816
normalize,words,50,384,bytes,95973292.0,ns,60225
normalize,words,50,384,bytes,102750209.0,ns,62634
normalize,words,50,384,bytes,106159292.0,ns,65043
normalize,words,50,384,bytes,107801083.0,ns,67452
normalize,words,50,384,bytes,117289000.0,ns,69861
normalize,words,50,384,bytes,128003042.0,ns,72270
normalize,words,50,384,bytes,116802709.0,ns,74679
normalize,words,50,384,bytes,124204000.0,ns,77088
normalize,words,50,384,bytes,129037458.0,ns,79497
normalize,words,50,384,bytes,133912375.0,ns,81906
normalize,words,50,384,bytes,143063958.0,ns,84315
normalize,words,50,384,bytes,139011375.0,ns,86724
normalize,words,50,384,bytes,146870375.0,ns,89133
normalize,words,50,384,bytes,149592834.0,ns,91542
normalize,words,50,384,bytes,151027459.0,ns,93951
normalize,words,50,384,bytes,167471750.0,ns,96360
normalize,words,50,384,bytes,155478792.0,ns,98769
normalize,words,50,384,bytes,162313584.0,ns,101178
normalize,words,50,384,bytes,177722500.0,ns,103587
normalize,words,50,384,bytes,179525625.0,ns,105996
normalize,words,50,384,bytes,170377667.0,ns,108405
normalize,words,50,384,bytes,182047958.0,ns,110814
normalize,words,50,384,bytes,182693959.0,ns,113223
normalize,words,50,384,bytes,204603583.0,ns,115632
normalize,words,50,384,bytes,191880500.0,ns,118041
normalize,words,50,384,bytes,194459958.0,ns,120450
