group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
slow_dedup,,,,,51366792.0,ns,6
slow_dedup,,,,,50956500.0,ns,6
slow_dedup,,,,,50816167.0,ns,6
slow_dedup,,,,,50762209.0,ns,6
slow_dedup,,,,,50899583.0,ns,6
slow_dedup,,,,,50840958.0,ns,6
slow_dedup,,,,,50838291.0,ns,6
slow_dedup,,,,,51062125.0,ns,6
slow_dedup,,,,,50903167.0,ns,6
slow_dedup,,,,,51330208.0,ns,6
slow_dedup,,,,,50906042.0,ns,6
slow_dedup,,,,,50808250.0,ns,6
slow_dedup,,,,,50787708.0,ns,6
slow_dedup,,,,,50887375.0,ns,6
slow_dedup,,,,,50814500.0,ns,6
slow_dedup,,,,,50841625.0,ns,6
slow_dedup,,,,,50869042.0,ns,6
slow_dedup,,,,,50827042.0,ns,6
slow_dedup,,,,,51013791.0,ns,6
slow_dedup,,,,,51558833.0,ns,6
slow_dedup,,,,,51817750.0,ns,6
slow_dedup,,,,,53897833.0,ns,6
slow_dedup,,,,,52233791.0,ns,6
slow_dedup,,,,,51528292.0,ns,6
slow_dedup,,,,,52220833.0,ns,6
slow_dedup,,,,,50918666.0,ns,6
slow_dedup,,,,,51142791.0,ns,6
slow_dedup,,,,,51262375.0,ns,6
slow_dedup,,,,,51103375.0,ns,6
slow_dedup,,,,,51339500.0,ns,6
slow_dedup,,,,,51142459.0,ns,6
slow_dedup,,,,,50867375.0,ns,6
slow_dedup,,,,,50865834.0,ns,6
slow_dedup,,,,,67733209.0,ns,6
slow_dedup,,,,,57286167.0,ns,6
slow_dedup,,,,,54660292.0,ns,6
slow_dedup,,,,,54856084.0,ns,6
slow_dedup,,,,,53178417.0,ns,6
slow_dedup,,,,,51726959.0,ns,6
slow_dedup,,,,,51795583.0,ns,6
slow_dedup,,,,,50929958.0,ns,6
slow_dedup,,,,,51136291.0,ns,6
slow_dedup,,,,,50774250.0,ns,6
slow_dedup,,,,,50850500.0,ns,6
slow_dedup,,,,,50796000.0,ns,6
slow_dedup,,,,,50844625.0,ns,6
slow_dedup,,,,,50862000.0,ns,6
slow_dedup,,,,,51148833.0,ns,6
slow_dedup,,,,,51558458.0,ns,6
slow_dedup,,,,,51155750.0,ns,6
slow_dedup,,,,,52170333.0,ns,6
slow_dedup,,,,,50849583.0,ns,6
slow_dedup,,,,,51224583.0,ns,6
slow_dedup,,,,,52676333.0,ns,6
slow_dedup,,,,,51027083.0,ns,6
slow_dedup,,,,,50777708.0,ns,6
slow_dedup,,,,,50790666.0,ns,6
slow_dedup,,,,,50802666.0,ns,6
slow_dedup,,,,,50870166.0,ns,6
slow_dedup,,,,,50845042.0,ns,6
slow_dedup,,,,,51329709.0,ns,6
slow_dedup,,,,,50790667.0,ns,6
slow_dedup,,,,,51422083.0,ns,6
slow_dedup,,,,,50863625.0,ns,6
slow_dedup,,,,,50864958.0,ns,6
slow_dedup,,,,,50756750.0,ns,6
slow_dedup,,,,,51173292.0,ns,6
slow_dedup,,,,,52708125.0,ns,6
slow_dedup,,,,,51741875.0,ns,6
slow_dedup,,,,,50809667.0,ns,6
slow_dedup,,,,,50887583.0,ns,6
slow_dedup,,,,,50821584.0,ns,6
slow_dedup,,,,,50772333.0,ns,6
slow_dedup,,,,,50812250.0,ns,6
slow_dedup,,,,,51432125.0,ns,6
slow_dedup,,,,,50800041.0,ns,6
slow_dedup,,,,,50851416.0,ns,6
slow_dedup,,,,,50947166.0,ns,6
slow_dedup,,,,,50863083.0,ns,6
slow_dedup,,,,,50953584.0,ns,6
slow_dedup,,,,,51246416.0,ns,6
slow_dedup,,,,,50796875.0,ns,6
slow_dedup,,,,,50826083.0,ns,6
slow_dedup,,,,,50885458.0,ns,6
slow_dedup,,,,,50828375.0,ns,6
slow_dedup,,,,,50852666.0,ns,6
slow_dedup,,,,,50791125.0,ns,6
slow_dedup,,,,,50813500.0,ns,6
slow_dedup,,,,,50874208.0,ns,6
slow_dedup,,,,,50926250.0,ns,6
slow_dedup,,,,,50859708.0,ns,6
slow_dedup,,,,,50841375.0,ns,6
slow_dedup,,,,,50827458.0,ns,6
slow_dedup,,,,,50843417.0,ns,6
slow_dedup,,,,,50801458.0,ns,6
slow_dedup,,,,,50808708.0,ns,6
slow_dedup,,,,,51005875.0,ns,6
slow_dedup,,,,,50963458.0,ns,6
slow_dedup,,,,,50843959.0,ns,6
slow_dedup,,,,,50964875.0,ns,6
