group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
slow_fib,n,32,,,24963791.0,ns,2
slow_fib,n,32,,,45684125.0,ns,4
slow_fib,n,32,,,70117166.0,ns,6
slow_fib,n,32,,,94036167.0,ns,8
slow_fib,n,32,,,125415541.0,ns,10
slow_fib,n,32,,,249790458.0,ns,12
slow_fib,n,32,,,188988167.0,ns,14
slow_fib,n,32,,,259454125.0,ns,16
slow_fib,n,32,,,304984292.0,ns,18
slow_fib,n,32,,,228966083.0,ns,20
slow_fib,n,32,,,253315792.0,ns,22
slow_fib,n,32,,,304012542.0,ns,24
slow_fib,n,32,,,303972417.0,ns,26
slow_fib,n,32,,,362785458.0,ns,28
slow_fib,n,32,,,454806625.0,ns,30
slow_fib,n,32,,,418681250.0,ns,32
slow_fib,n,32,,,399360000.0,ns,34
slow_fib,n,32,,,446592959.0,ns,36
slow_fib,n,32,,,459873125.0,ns,38
slow_fib,n,32,,,477398375.0,ns,40
slow_fib,n,32,,,500928875.0,ns,42
slow_fib,n,32,,,512264584.0,ns,44
slow_fib,n,32,,,555994542.0,ns,46
slow_fib,n,32,,,573642666.0,ns,48
slow_fib,n,32,,,702817458.0,ns,50
slow_fib,n,32,,,679633125.0,ns,52
slow_fib,n,32,,,652917875.0,ns,54
slow_fib,n,32,,,654663500.0,ns,56
slow_fib,n,32,,,668384667.0,ns,58
slow_fib,n,32,,,560367375.0,ns,60
