group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sum_even,,,,,1151916.0,ns,3
sum_even,,,,,2350667.0,ns,6
sum_even,,,,,3468834.0,ns,9
sum_even,,,,,5527917.0,ns,12
sum_even,,,,,6226083.0,ns,15
sum_even,,,,,8167750.0,ns,18
sum_even,,,,,9292917.0,ns,21
sum_even,,,,,9829750.0,ns,24
sum_even,,,,,10413458.0,ns,27
sum_even,,,,,11566500.0,ns,30
sum_even,,,,,12730750.0,ns,33
sum_even,,,,,13800208.0,ns,36
sum_even,,,,,15065500.0,ns,39
sum_even,,,,,16306834.0,ns,42
sum_even,,,,,17382209.0,ns,45
sum_even,,,,,18515042.0,ns,48
sum_even,,,,,19485666.0,ns,51
sum_even,,,,,21547083.0,ns,54
sum_even,,,,,21866334.0,ns,57
sum_even,,,,,22936375.0,ns,60
sum_even,,,,,24045458.0,ns,63
sum_even,,,,,25174166.0,ns,66
sum_even,,,,,26319875.0,ns,69
sum_even,,,,,27507667.0,ns,72
sum_even,,,,,28872458.0,ns,75
sum_even,,,,,29740083.0,ns,78
sum_even,,,,,30970708.0,ns,81
sum_even,,,,,32865792.0,ns,84
sum_even,,,,,35223542.0,ns,87
sum_even,,,,,35014042.0,ns,90
sum_even,,,,,35487959.0,ns,93
sum_even,,,,,36620875.0,ns,96
sum_even,,,,,37846667.0,ns,99
sum_even,,,,,39192500.0,ns,102
sum_even,,,,,40429625.0,ns,105
sum_even,,,,,41740875.0,ns,108
sum_even,,,,,42369500.0,ns,111
sum_even,,,,,43518875.0,ns,114
sum_even,,,,,44645500.0,ns,117
sum_even,,,,,45801500.0,ns,120
sum_even,,,,,47204334.0,ns,123
sum_even,,,,,49155167.0,ns,126
sum_even,,,,,50084500.0,ns,129
sum_even,,,,,50933625.0,ns,132
sum_even,,,,,51756375.0,ns,135
sum_even,,,,,53008750.0,ns,138
sum_even,,,,,53852542.0,ns,141
sum_even,,,,,54984167.0,ns,144
sum_even,,,,,56105584.0,ns,147
sum_even,,,,,57405708.0,ns,150
sum_even,,,,,58351875.0,ns,153
sum_even,,,,,59539667.0,ns,156
sum_even,,,,,60818208.0,ns,159
sum_even,,,,,63080500.0,ns,162
sum_even,,,,,62984791.0,ns,165
sum_even,,,,,64154917.0,ns,168
sum_even,,,,,65694708.0,ns,171
sum_even,,,,,68574875.0,ns,174
sum_even,,,,,69324625.0,ns,177
sum_even,,,,,70172292.0,ns,180
sum_even,,,,,72051584.0,ns,183
sum_even,,,,,71069541.0,ns,186
sum_even,,,,,73691750.0,ns,189
sum_even,,,,,75213458.0,ns,192
sum_even,,,,,76089834.0,ns,195
sum_even,,,,,77173541.0,ns,198
sum_even,,,,,81358833.0,ns,201
sum_even,,,,,80935541.0,ns,204
sum_even,,,,,79980125.0,ns,207
sum_even,,,,,81381917.0,ns,210
sum_even,,,,,85728458.0,ns,213
sum_even,,,,,84193250.0,ns,216
sum_even,,,,,86576875.0,ns,219
sum_even,,,,,87722875.0,ns,222
sum_even,,,,,89032583.0,ns,225
sum_even,,,,,88982917.0,ns,228
sum_even,,,,,90047417.0,ns,231
sum_even,,,,,89427000.0,ns,234
sum_even,,,,,90508667.0,ns,237
sum_even,,,,,91593084.0,ns,240
sum_even,,,,,92718375.0,ns,243
sum_even,,,,,94019208.0,ns,246
sum_even,,,,,95604291.0,ns,249
sum_even,,,,,100497417.0,ns,252
sum_even,,,,,101453500.0,ns,255
sum_even,,,,,100371458.0,ns,258
sum_even,,,,,101631583.0,ns,261
sum_even,,,,,103229792.0,ns,264
sum_even,,,,,106689334.0,ns,267
sum_even,,,,,104162417.0,ns,270
sum_even,,,,,105044167.0,ns,273
sum_even,,,,,109561500.0,ns,276
sum_even,,,,,110143250.0,ns,279
sum_even,,,,,131898000.0,ns,282
sum_even,,,,,122254000.0,ns,285
sum_even,,,,,117833166.0,ns,288
sum_even,,,,,116049875.0,ns,291
sum_even,,,,,114321500.0,ns,294
sum_even,,,,,116977625.0,ns,297
sum_even,,,,,115795500.0,ns,300
